case:concept:name,concept:name,time:timestamp,event_count
173688,A_SUBMITTED,2011-09-30 22:38:44.546000+00:00,1
173688,A_PARTLYSUBMITTED,2011-09-30 22:38:44.880000+00:00,2
173688,A_PREACCEPTED,2011-09-30 22:39:37.906000+00:00,3
173688,A_ACCEPTED,2011-10-01 09:42:43.308000+00:00,4
173688,A_FINALIZED,2011-10-01 09:45:09.243000+00:00,5
173688,A_REGISTERED,2011-10-13 08:37:29.226000+00:00,6
173688,A_APPROVED,2011-10-13 08:37:29.226000+00:00,7
173688,A_ACTIVATED,2011-10-13 08:37:29.226000+00:00,8
173691,A_SUBMITTED,2011-10-01 06:08:58.256000+00:00,1
173691,A_PARTLYSUBMITTED,2011-10-01 06:09:02.195000+00:00,2
173691,A_PREACCEPTED,2011-10-01 06:09:56.648000+00:00,3
173691,A_ACCEPTED,2011-10-01 12:33:54.614000+00:00,4
173691,A_FINALIZED,2011-10-01 12:35:46.016000+00:00,5
173691,A_ACTIVATED,2011-10-10 12:17:26.307000+00:00,6
173691,A_REGISTERED,2011-10-10 12:17:26.307000+00:00,7
173691,A_APPROVED,2011-10-10 12:17:26.307000+00:00,8
173694,A_SUBMITTED,2011-10-01 06:10:30.287000+00:00,1
173694,A_PARTLYSUBMITTED,2011-10-01 06:10:30.591000+00:00,2
173694,A_PREACCEPTED,2011-10-01 06:11:13.026000+00:00,3
173694,A_ACCEPTED,2011-10-03 11:34:25.421000+00:00,4
173694,A_FINALIZED,2011-10-03 11:40:14.632000+00:00,5
173694,A_ACTIVATED,2011-11-04 15:04:52.612000+00:00,6
173694,A_APPROVED,2011-11-04 15:04:52.612000+00:00,7
173694,A_REGISTERED,2011-11-04 15:04:52.612000+00:00,8
173697,A_SUBMITTED,2011-10-01 06:11:08.866000+00:00,1
173697,A_PARTLYSUBMITTED,2011-10-01 06:11:09.035000+00:00,2
173697,A_DECLINED_4,2011-10-01 06:11:46.420000+00:00,3
173700,A_SUBMITTED,2011-10-01 06:15:39.894000+00:00,1
173700,A_PARTLYSUBMITTED,2011-10-01 06:15:40.102000+00:00,2
173700,A_DECLINED_4,2011-10-01 06:16:21.037000+00:00,3
173703,A_SUBMITTED,2011-10-01 07:45:25.806000+00:00,1
173703,A_PARTLYSUBMITTED,2011-10-01 07:45:25.981000+00:00,2
173703,A_PREACCEPTED,2011-10-01 07:46:18.211000+00:00,3
173703,A_CANCELLED_1,2011-10-01 11:02:11.068000+00:00,4
173706,A_SUBMITTED,2011-10-01 07:45:37.274000+00:00,1
173706,A_PARTLYSUBMITTED,2011-10-01 07:45:37.363000+00:00,2
173706,A_PREACCEPTED,2011-10-01 08:16:48.956000+00:00,3
173706,A_DECLINED_4,2011-10-01 12:59:58.557000+00:00,4
173709,A_SUBMITTED,2011-10-01 07:57:42.994000+00:00,1
173709,A_PARTLYSUBMITTED,2011-10-01 07:57:43.182000+00:00,2
173709,A_PREACCEPTED,2011-10-01 07:58:27.038000+00:00,3
173709,A_CANCELLED_1,2011-11-01 08:15:08.387000+00:00,4
173712,A_SUBMITTED,2011-10-01 07:58:30.533000+00:00,1
173712,A_PARTLYSUBMITTED,2011-10-01 07:58:30.678000+00:00,2
173712,A_PREACCEPTED,2011-10-01 08:10:24.737000+00:00,3
173712,A_CANCELLED_1,2011-10-03 12:42:53.820000+00:00,4
173715,A_SUBMITTED,2011-10-01 07:59:10.501000+00:00,1
173715,A_PARTLYSUBMITTED,2011-10-01 07:59:10.789000+00:00,2
173715,A_PREACCEPTED,2011-10-01 07:59:42.704000+00:00,3
173715,A_ACCEPTED,2011-10-01 10:24:32.787000+00:00,4
173715,A_FINALIZED,2011-10-01 10:30:20.556000+00:00,5
173715,A_DECLINED_4,2011-10-13 09:05:24.620000+00:00,6
173718,A_SUBMITTED,2011-10-01 08:37:39.363000+00:00,1
173718,A_PARTLYSUBMITTED,2011-10-01 08:37:39.657000+00:00,2
173718,A_PREACCEPTED,2011-10-01 08:38:20.967000+00:00,3
173718,A_ACCEPTED,2011-10-01 08:42:21.977000+00:00,4
173718,A_FINALIZED,2011-10-01 08:44:40.725000+00:00,5
173718,A_APPROVED,2011-10-27 07:17:53.327000+00:00,6
173718,A_REGISTERED,2011-10-27 07:17:53.328000+00:00,7
173718,A_ACTIVATED,2011-10-27 07:17:53.328000+00:00,8
173721,A_SUBMITTED,2011-10-01 09:07:34.279000+00:00,1
173721,A_PARTLYSUBMITTED,2011-10-01 09:07:34.928000+00:00,2
173721,A_PREACCEPTED,2011-10-01 09:08:17.093000+00:00,3
173721,A_ACCEPTED,2011-10-01 09:18:36.318000+00:00,4
173721,A_FINALIZED,2011-10-01 09:20:47.605000+00:00,5
173721,A_DECLINED_4,2011-10-10 14:28:25.531000+00:00,6
173724,A_SUBMITTED,2011-10-01 09:52:14.305000+00:00,1
173724,A_PARTLYSUBMITTED,2011-10-01 09:52:14.576000+00:00,2
173724,A_PREACCEPTED,2011-10-01 10:20:54.061000+00:00,3
173724,A_DECLINED_4,2011-10-03 13:48:17.469000+00:00,4
173727,A_SUBMITTED,2011-10-01 10:08:46.663000+00:00,1
173727,A_PARTLYSUBMITTED,2011-10-01 10:08:46.803000+00:00,2
173727,A_DECLINED_4,2011-10-01 10:09:30.362000+00:00,3
173730,A_SUBMITTED,2011-10-01 10:36:08.943000+00:00,1
173730,A_PARTLYSUBMITTED,2011-10-01 10:36:09.207000+00:00,2
173730,A_PREACCEPTED,2011-10-01 10:36:59.265000+00:00,3
173730,A_ACCEPTED,2011-10-01 13:36:06.372000+00:00,4
173730,A_FINALIZED,2011-10-01 13:40:08.255000+00:00,5
173730,A_APPROVED,2011-10-21 07:08:14.251000+00:00,6
173730,A_REGISTERED,2011-10-21 07:08:14.251000+00:00,7
173730,A_ACTIVATED,2011-10-21 07:08:14.251000+00:00,8
173733,A_SUBMITTED,2011-10-01 10:39:34.037000+00:00,1
173733,A_PARTLYSUBMITTED,2011-10-01 10:39:34.130000+00:00,2
173733,A_DECLINED_4,2011-10-01 12:54:53.037000+00:00,3
173736,A_SUBMITTED,2011-10-01 11:01:58.813000+00:00,1
173736,A_PARTLYSUBMITTED,2011-10-01 11:01:59.052000+00:00,2
173736,A_PREACCEPTED,2011-10-01 11:02:44.257000+00:00,3
173736,A_ACCEPTED,2011-10-01 14:00:15.975000+00:00,4
